Product Name,Price
Scan Cassava Chips Hot & Spicy 50g,Rs 170.00
Raala Pure Kithul Jaggery Cubes 260g,"Rs 1,350.00"
Daintee Mint Chocolate 40g,Rs 75.00
Ma's Seasoning Cube Sambol 20g,Rs 108.00 / Unit
Catch Mixed Chilli Powder 100g,Rs 300.00
Revello Bliss Biscuits 100g,Rs 450.00
Kettle Studio Sharp Jalapeno & Cream Cheese 56G,Rs 323.00 / Unit
Cornwell's White Vinegar 375ml,"Rs 1,150.00"
Bayara Paprika 35g,Rs 220.00
Bayara Rosemary 25g,Rs 265.00
Pelwatte Cow Ghee 150ml,Rs 850.00
Uswatte Chirpy Chips Hot & Spicy 50g,Rs 200.00
Uswatte Chirpy Chips Salted 73g,Rs 300.00
Uswatte Chirpy Chips Cheese & Onion 50g,Rs 200.00
Uswatte Chirpy Chips Cheese & Onion 73g,Rs 300.00
Kohinoor Extra Flavour Basmati Rice 1kg,"Rs 1,190.00"
Dececco Spaghetti No 12 500g,"Rs 1,100.00"
Dececco Pasta Penne Rigate 500g,"Rs 1,100.00"
Bayara Snacks Cashews Salted 30G,Rs 297.00 / Unit
Cic Besto Omega 3 Eggs Large 10S,Rs 650.00
Cic Besto Omega 3 Eggs Standard 10S,Rs 630.00
Anods Cocoa Dark Chocolate Buttons 250g,Rs 800.00
Alpenliebe Gummies Bears & Bottles 35g,Rs 100.00
Sante Granola Fruit 350g,"Rs 1,290.00"
Sante Granola Chocolate 350g,"Rs 1,580.00"
Smak Cassava Chips Barbecue 100g,Rs 325.00
Aswenna Green Gram Dosa Mix 500g,Rs 460.00
Oateo Jumbo Rolled Oats 1kg,"Rs 1,690.00"
Silvermill Pure Coconut Oil 1L,"Rs 1,660.00"
Silvermill Pure Coconut Oil 500ml,Rs 855.00
Catch Chilli Powder 250g,Rs 475.00
Catch Chilli Pieces 250g,Rs 475.00
Revello Bubble Gum Chocolate 25g,Rs 230.00
Govi Aruna Org Virgin Coconut Oil 750ml,"Rs 2,700.00"
Cherish Vanilla Wafer Cubes 85g,Rs 120.00
Keells Iced Gem Biscuits 240g,Rs 210.00 / Unit
4700Bc Salted Butter Classic Popcorn 30g,Rs 360.00 / Unit
Maliban Lemon Wafers 90g,Rs 120.00
La Treats White Chocolate Slab 55g,Rs 440.00 / Unit
Munchee Kalo Vanilla Biscuit 140g,Rs 300.00
Munchee Kalo Strawberry Biscuit 140G,Rs 300.00
Munchee Kalo Chocolate Biscuit 140g,Rs 300.00
Kist Choco Fun Biscuit 100g,Rs 240.00
Ritzbury Champ Choco Value Pack 192g,Rs 420.00
Tong Garden Party Snack 40g,Rs 365.00
Maliban Crackers Thins 190g,Rs 260.00
Maliban Cream Cracker Buddy 230g,Rs 230.00
Sandul Raum Bite 100g,Rs 234.00 / Unit
Munchee Orange Cream Biscuit 100g,Rs 110.00
Little Lion Soft Log Coffee 200g,Rs 390.00
Little Lion Chocolate Cake 300g,Rs 590.00
Keells Krest Jumbo Peanuts Salted 100g,Rs 400.00
Maggi Noodles Family Promo Pack 335g,Rs 350.00
Keells Custard Cream Biscuit 200g,Rs 195.00
Zellers Chocolate Milk 45g,Rs 250.00
Zellers Chocolate Crispies 50g,Rs 270.00
Zellers Chocolate Confetti 100g,Rs 650.00
Raigam Kiri Kos Soya 60g,Rs 130.00
Munchee Salsa Biscuit 30g,Rs 50.00
Keells Vegetable Oil 1L,"Rs 1,350.00"
Keells Chocolate Spread 200g,"Rs 1,250.00"
Keells Marie Biscuit 80g,Rs 81.00
Keells Nice Biscuit 100g,Rs 99.00
Keells Cream Cracker 125g,Rs 113.00 / Unit
Rancrisp Cassava Chips Original 100g,Rs 300.00
Rancrisp Honey Cashew 70g,Rs 520.00
Uvindu Rulan Aluwa 310G 12S,Rs 480.00
Sandul Biscuit Wine Droplets 70g,Rs 220.00
Keells Chocolate Cream Biscuit 100g,Rs 108.00
Keells Kisses 15S 45g,Rs 225.00
Maliban Orange Cream Biscuits 100g,Rs 110.00
Motha Colouring Apple Green 28ml,Rs 210.00
Motha Colouring Pink 28ml,Rs 210.00
Motha Colouring Red 28ml,Rs 189.00 / Unit
Munchee Milk Short Cake Biscuit 85g,Rs 120.00
Maliban Chocolate Wafers 90g,Rs 130.00
Kandos Super 10 Milk Chocolate 12g,Rs 30.00
Finagle Bread Crumbs 400g,Rs 590.00
Finagle Butter Rusk Biscuit 80g,Rs 300.00
Finagle Butter Biscuit 80g,Rs 300.00
Motha Essence Almond 28ml,Rs 220.00
Motha Essence Rose 28ml,Rs 220.00
Motha Essence Vanilla 28ml,Rs 198.00 / Unit
Keells Natural Coconut Water Vinegar 750ml,Rs 320.00
Keells Soya Sauce 325ml,Rs 240.00
Maliban Bran Cracker 140g,Rs 200.00
Mccurrie Coriander Powder 120g,Rs 190.00
Keells Custard Cream Biscuit 100g,Rs 99.00
Soopervegee Cream Topping 100g,Rs 840.00
Soopervegee Eggless Choco Mousse 100g,Rs 870.00
Big Babol Gum Tutti Frutti Stick 18g,Rs 75.00
Ritzbury Tropica Chocolate 26g,Rs 70.00
Kellogg's Chocos Duet 375g,"Rs 1,317.00 / Unit"
Edinborough Oyster Sauce Squeeze Bottle 385g,Rs 510.00
Edinborough Tomato Ketchup Squeeze Bottle 405g,Rs 476.00 / Unit
Edinborough Soy Sauce 350ml,Rs 272.00 / Unit
Kandos Orange Chocolate 37g,Rs 100.00
Lloyds Limeola 200ml,Rs 525.00
Prima Stella Instant Noodles Prawn 75g,Rs 130.00
Harischandra Thosai Mixture 400g,Rs 450.00
Richy Frank Savoury Popcorn 25g,Rs 292.00
Mccurrie Nutmeg 50g,Rs 275.00
San Remo Pasta Small Shell No. 28 500g,Rs 990.00
San Remo Pasta Penne Rigatoni No18 500G,Rs 990.00
Ritzbury Popit 20g,Rs 80.00
Kellogg's Muesli Nuts Delight 240g,"Rs 1,200.00 / Unit"
N Joy Pure Coconut Oil 1L,"Rs 1,790.00"
Kandos Choconut 115g,Rs 261.00 / Unit
Turkey Sunflower Oil 500ml,Rs 980.00
Munchee Nice Biscuit 100g,Rs 110.00
Lea & Perrins Worcestershire Sauce 290ml,"Rs 2,290.00"
Mr. Potato Crisp Original Can 100g,Rs 756.00 / Unit
Garden Fresh Curd Chilli 100g,Rs 535.00
M&M Chocolate Milk 45g,Rs 700.00
Orient Green Peas 250g,Rs 245.00
Ruhunu Gram Flour 200g,Rs 230.00
Ruhunu Undu Flour 200g,Rs 520.00
Nature Maldive Fish 250g,"Rs 1,240.00"
Nature Chilli Pieces 250g,Rs 488.00 / Unit
Nature Chilli Powder 250g,Rs 517.00 / Unit
Nature Cinnamon Sticks 25g,Rs 229.00 / Unit
Lanka Soy Malu Ambulthiyal 90g,Rs 140.00
Premero Kisses Vanilla 15S,Rs 255.00
Md Tomato Puree 245g,Rs 400.00
Nature Clove 25g,Rs 215.00
Nestle Milkmaid Ice Coffee Mix 390g,Rs 890.00
